Brand,Car,Year,City,KMS,Fuel,Transmission,Price,Emi
Mahindra,TharLX Convertible Diesel AT,2022,Bangalore,21500,diesel,automatic,1482000,25486.0
Maruti,DzireZXi Plus AGS,2022,Bangalore,25500,petrol,automatic,836000,14236.0
Maruti,Wagon R 1.0VXI AMT (O),2018,Bangalore,92000,petrol,automatic,436000,7792.0
Hyundai,Grand i10Sportz 1.2 Kappa VTVT,2014,Bangalore,43000,petrol,manual,361000,7747.0
Nissan,Micra ActiveXV Safety Pack,2017,Bangalore,73500,petrol,manual,339000,5772.0
Renault,KwidRXT 1.0 SCE Special (O),2019,Bangalore,79000,petrol,manual,375000,6386.0
Toyota,Urban Cruiser HyryderV Neodrive AWD,2023,Bangalore,15000,petrol,manual,1560000,26822.0
Kia,SeltosGTX (O) 1.4,2022,Bangalore,29500,petrol,manual,1461000,25126.0
Tata,TiagoXZ CNG (Outside Fitted),2016,Delhi,72500,cng,manual,336000,5721.0
Mercedes,E-ClassE200 Expression,2018,Delhi,57000,petrol,automatic,3450000,59336.0
Mahindra,XUV700AX 5 Diesel AT 7 STR,2023,Delhi,52000,diesel,automatic,1705000,29322.0
Hyundai,Grand i10Asta 1.2 Kappa VTVT (O),2015,Delhi,80500,petrol,manual,336000,6116.0
Maruti,S-CrossZeta AT,2020,Delhi,49500,petrol,automatic,806000,13725.0
Hyundai,VernaSX (O) 1.5 CRDi,2021,Delhi,122000,diesel,manual,1003999,17097.0
Mahindra,TharLX Hard Top Petrol AT,2021,Delhi,43500,petrol,automatic,1240000,21324.0
Maruti,ErtigaVXI,2016,Delhi,79000,petrol,manual,561000,9553.0
Mahindra,Alturas G44WD AT,2021,Delhi,65000,diesel,automatic,2150000,36976.0
Renault,KigerRXZ MT,2021,Delhi,35500,petrol,manual,597000,10166.0
Hyundai,Grand i10Magna 1.2 Kappa VTVT,2016,Delhi,12000,petrol,manual,379000,6454.0
Volkswagen,VentoHighline Plus 1.0L TSI Petrol AT,2020,Delhi,97000,petrol,automatic,739000,11798.0
Hyundai,VernaSX 1.6 VTVT,2020,Delhi,40000,petrol,manual,807000,13742.0
Maruti,IgnisZeta 1.2 MT,2022,Delhi,5500,petrol,manual,546000,9298.0
Hyundai,CretaSX OPT Turbo DCT Petrol,2022,Delhi,57000,petrol,automatic,1480000,25453.0
Honda,WR-VS MT Petrol,2017,Delhi,58000,petrol,manual,473000,8054.0
Honda,JazzVX Petrol,2017,Delhi,63500,petrol,manual,459999,7343.0
Hyundai,Creta1.6 SX AT VTVT,2018,Delhi,83000,petrol,automatic,882000,15019.0
Maruti,S-CrossSigma,2021,Delhi,43000,petrol,manual,671000,11426.0
BMW,X1sDrive20i SportX,2021,Delhi,28500,petrol,automatic,2650000,45576.0
Skoda,SlaviaActive 1.0L TSI MT,2022,Delhi,47500,petrol,manual,874000,14883.0
Ford,FigoTitanium Plus 1.2 Ti-VCT AT,2021,Delhi,72000,petrol,automatic,571000,9723.0
Hyundai,i20 Active1.2 S,2015,Delhi,41500,petrol,manual,408000,7426.0
Volkswagen,PoloTrendline 1.0L MPI,2021,Delhi,11500,petrol,manual,582000,9291.0
Ford,EcoSportTitanium + 1.5L Ti-VCT AT,2018,Delhi,94000,petrol,automatic,644000,10966.0
Kia,SeltosGTX Plus DCT,2019,Delhi,49500,petrol,automatic,1111000,19107.0
Hyundai,VenueSX 1.0 (O) Turbo iMT,2020,Delhi,29000,petrol,manual,880000,14985.0
Hyundai,Grand i10 NiosAsta 1.2 Kappa AMT,2024,Delhi,6000,petrol,automatic,806000,13725.0
Maruti,CiazSigma 1.5,2022,Delhi,121000,petrol,manual,623000,10609.0
Hyundai,Grand i10Sportz (O) AT 1.2 Kappa VTVT,2017,Delhi,65500,petrol,automatic,444000,7561.0
Hyundai,CretaS Diesel,2021,Delhi,104500,diesel,manual,909000,15479.0
Tata,NexonXZ Plus,2023,Delhi,38500,petrol,manual,897000,15275.0
Jeep,Compass80 Anniversary 2.0 Diesel 4x4 AT,2021,Delhi,26500,diesel,automatic,1889999,32505.0
Renault,TriberRXZ,2020,Delhi,17500,petrol,manual,519000,8838.0
Mercedes,C-ClassC 200 Avantgarde,2016,Delhi,41500,petrol,automatic,1800000,30957.0
MG,HectorSharp 1.5 Petrol CVT,2021,Delhi,65000,petrol,automatic,1274000,21910.0
MG,HectorSharp 2.0 Diesel Turbo MT,2021,Delhi,46000,diesel,manual,1441000,24781.0
Hyundai,VenueSX Plus 1.0 Turbo DCT,2020,Delhi,97000,petrol,automatic,761000,12959.0
Hyundai,New i20Sportz 1.2 MT,2022,Delhi,40000,petrol,manual,656000,11171.0
Skoda,Rapid NewStyle Petrol,2017,Delhi,66000,petrol,manual,488999,8327.0
Hyundai,VernaSX (O)1.6 VTVT,2019,Delhi,34500,petrol,manual,899000,15309.0
Honda,CityZX CVT Petrol,2021,Delhi,44500,petrol,automatic,1145000,19691.0
